date,grade,aqi,pm2.5,pm10,so2,no2,co,o3
2013/12/1,¡º,5,60,77,34,56,1.7,15
2013/12/2,«·∂»Œ€»æ,41,98,123,53,75,2.53,6
2013/12/3,«·∂»Œ€»æ,31,65,88,38,54,1.58,20
2013/12/4,¡º,29,83,101,42,62,2.04,11
2013/12/5,¡º,19,39,55,30,38,1.17,23
2013/12/6,¡º,32,125,158,49,77,2.46,6
2013/12/7,÷ÿ∂»Œ€»æ,76,248,292,63,100,4.34,3
2013/12/8,—œ÷ÿŒ€»æ,97,179,192,48,61,3.01,5
2013/12/9,¡º,26,11,16,9,21,0.59,39
2013/12/10,”≈,1,20,44,14,29,0.96,29
2013/12/11,”≈,2,19,29,14,29,0.74,31
2013/12/12,”≈,1,15,28,10,24,0.75,35
2013/12/13,”≈,4,47,63,29,45,1.3,16
2013/12/14,¡º,11,40,47,29,40,1.18,26
2013/12/15,¡º,16,47,55,31,49,1.52,18
2013/12/16,¡º,47,104,127,59,71,2.55,6
2013/12/17,«·∂»Œ€»æ,78,58,45,35,38,1.34,31
2013/12/18,”≈,19,27,41,22,30,0.81,31
2013/12/19,”≈,22,45,59,29,49,1.22,22
2013/12/20,¡º,24,30,46,28,46,1.1,25
2013/12/21,”≈,3,64,84,44,69,1.64,20
2013/12/22,«·∂»Œ€»æ,60,134,177,67,95,2.74,7
2013/12/23,÷–∂»Œ€»æ,74,126,165,61,90,2.87,12
2013/12/24,÷ÿ∂»Œ€»æ,64,221,268,95,123,4.85,6
2013/12/25,—œ÷ÿŒ€»æ,80,166,216,64,92,3.2,24
2013/12/26,¡º,18,9,19,8,20,0.4,50
2013/12/27,”≈,1,16,21,19,34,0.59,23
2013/12/28,”≈,3,11,19,11,22,0.38,20
2013/12/29,¡º,7,57,86,47,75,1.73,15
2013/12/30,¡º,9,41,83,27,51,1.06,27
2013/12/31,¡º,32,51,149,23,49,1.27,33
2014/1/1,¡º,31,44,110,27,62,1.48,27
2014/1/2,«·∂»Œ€»æ,65,110,166,71,92,3.4,8
2014/1/3,¡º,29,46,97,28,52,1.3,32
2014/1/4,÷–∂»Œ€»æ,127,116,149,40,76,2.84,4
2014/1/5,«·∂»Œ€»æ,48,89,116,35,67,2.29,15
2014/1/6,÷–∂»Œ€»æ,112,139,160,46,68,2.38,4
2014/1/7,«·∂»Œ€»æ,116,110,124,34,59,1.97,20
2014/1/8,”≈,1,15,25,13,21,0.51,43
