date,weather_am,whether_pm,temp_max,temp_min,temp_mean,wind_am,wind_pm
2011/1/1,晴,晴,0,-9,-4.5,微风,微风
2011/1/2,多云,阴,-2,-7,-4.5,微风,微风
2011/1/3,晴,晴,1,-8,-3.5,北风 3-4级,微风
2011/1/4,晴,晴,-1,-11,-6,微风,微风
2011/1/5,晴,晴,-1,-8,-4.5,北风 4-5级,北风 3-4级
2011/1/6,晴,晴,0,-10,-5,微风,微风
2011/1/7,晴,多云,1,-7,-3,微风,微风
2011/1/8,多云,晴,1,-8,-3.5,北风 4-5级,北风 4-5级
2011/1/9,晴,晴,-1,-10,-5.5,北风 3-4级,微风
2011/1/10,晴,多云,-1,-7,-4,微风,北风 3-4级
2011/1/11,晴,晴,-1,-11,-6,北风 3-4级,微风
2011/1/12,多云,多云,0,-8,-4,微风,微风
2011/1/13,晴,晴,1,-7,-3,微风,微风
2011/1/14,晴,晴,-1,-10,-5.5,北风 4-5级,北风 3-4级
2011/1/15,晴,阴,3,-4,-0.5,微风,微风
2011/1/16,晴,晴,-1,-9,-5,微风,微风
2011/1/17,晴,晴,-1,-9,-5,北风 3-4级,微风
2011/1/18,晴,晴,-1,-10,-5.5,微风,微风
2011/1/19,晴,晴,0,-9,-4.5,微风,微风
2011/1/20,晴,多云,0,-7,-3.5,微风,微风
2011/1/21,晴,多云,1,-7,-3,微风,微风
2011/1/22,多云,多云,0,-9,-4.5,微风,北风 3-4级
2011/1/23,晴,晴,-1,-10,-5.5,北风 3-4级,微风
2011/1/24,晴,多云,0,-9,-4.5,微风,微风
2011/1/25,晴,晴,0,-10,-5,微风,微风
2011/1/26,晴,多云,0,-8,-4,微风,微风
2011/1/27,晴,晴,2,-7,-2.5,微风,微风
2011/1/28,晴,晴,4,-7,-1.5,微风,微风
2011/1/29,晴,晴,-1,-10,-5.5,微风,微风
2011/1/30,晴,晴,3,-7,-2,微风,微风
2011/1/31,多云,雾,4,-2,1,微风,微风
2011/2/1,晴,晴,4,-8,-2,北风 3-4级,微风
2011/2/2,晴,多云,9,-4,2.5,北风 4-5级,北风 4-5级
2011/2/3,小雪,雾,0,-5,-2.5,微风,北风 3-4级
2011/2/4,晴,小雪,2,-7,-2.5,北风 3-4级,微风
2011/2/5,晴,阴,1,-5,-2,微风,微风
2011/2/6,多云,阴,9,-1,4,微风,北风 3-4级
2011/2/7,晴,晴,8,-4,2,微风,微风
2011/2/8,晴,多云,-2,-9,-5.5,微风,微风
2011/2/9,多云,多云,0,-6,-3,微风,微风
2011/2/10,晴,晴,0,-10,-5,微风,微风
2011/2/11,晴,晴,1,-10,-4.5,北风 3-4级,微风
2011/2/12,阴,小雪,-3,-6,-4.5,微风,微风
2011/2/13,晴,晴,10,-3,3.5,微风,微风
2011/2/14,晴,晴,1,-7,-3,北风 4-5级,微风
2011/2/15,晴,多云,4,-6,-1,微风,微风
2011/2/16,霾,多云,5,-4,0.5,微风,微风
2011/2/17,晴,晴,9,-2,3.5,微风,北风 3-4级
2011/2/18,多云,晴,3,-8,-2.5,北风 3-4级,微风
2011/2/19,晴,晴,10,-3,3.5,微风,微风
2011/2/20,晴,多云,10,-3,3.5,微风,微风
2011/2/21,晴,晴,10,-1,4.5,微风,微风
2011/2/22,雾,多云,9,0,4.5,微风,微风
2011/2/23,多云,晴,9,3,6,微风,微风
2011/2/24,晴,晴,10,-1,4.5,微风,微风
2011/2/25,晴,雨夹雪,7,-1,3,微风,微风
2011/2/26,小雪,小雪,2,-3,-0.5,微风,微风
2011/2/27,小雪,阴,2,-5,-1.5,微风,微风
2011/2/28,晴,晴,6,-4,1,微风,北风 3-4级
2011/3/1,多云,晴,5,-3,1,微风,微风
2011/3/2,晴,晴,6,-2,2,微风,北风 3-4级
2011/3/3,晴,晴,9,-4,2.5,北风 3-4级,微风
2011/3/4,晴,多云,11,0,5.5,微风,微风
2011/3/5,晴,晴,13,1,7,微风,北风 3-4级
2011/3/6,晴,晴,10,-1,4.5,北风 3-4级,微风
2011/3/7,晴,晴,10,-1,4.5,北风 3-4级,微风
2011/3/8,晴,晴,10,-1,4.5,北风 3-4级,北风 3-4级
2011/3/9,晴,晴,11,-1,5,北风 3-4级,微风
2011/3/10,晴,晴,15,1,8,微风,微风
2011/3/11,多云,晴,17,3,10,微风,微风
2011/3/12,晴,阴,19,7,13,微风,微风
